content,SENTIMEN
transfer dana shopeepay biaya dana trus masuk shopeepay nya cuman aneh gitu protes cs potong rb dana ss dana tulis rupiah cs nya bingung gk selesai gak pemberitahuan potong sekian eh potong kecewa parah,negatif
update yg aplikasi indonesia copas deskripsi note kedetect langgar kayak apkmu gak berat klik nunggu kerja yg amat detail deskripsi produk nya singkat shope ajar senior nya yg tulis deskripsi koneksi putus tolol nama deskripsi apk sotoy banyak pola tingkah yg apknya banyak model,negatif
harap nggak status video shopee jaring internet shopee lemah guna nggak nyaman,negatif 
mantap,positif
mantap,positif
bonus shoppe video nya ubah koin sih gak bagus hadiah nya koin uang gak semangat buka shoppe nya,negatif
yaa buka shopee kayak error kedap kedip hp aplikasi baik aja gak yg error mohon bantu konfirmasi karna seller bingung jual beli karna aplikasi jalan balas developer clear cache instal ulang tp aplikasi gak,negatif
aplikasi kurang update lot aja,negatif
iklan,negatif
aplykasi bagus tp buka nya berat ya,negatif
mantap,positif
bagus,positif
belanja shopie alhmdulilah slalu sesuai hrpan smoga shopie mkin amnh brokah lncar,positif
,positif
,negatif
shopee is the bestbelanja shopee mudahsuka murahthaks shopee,positif
gegara abis update suka ngelag nge-bug nya neh aplikasi hape ram gede aja lelet asa sinyal oke bintang pake online shop yg laen sampe aplikasi lancar,negatif
good,positif
awesome,positif
apk lu jelek lot bgt buka yg lancar jaya ga heran si ni apk hancur hancurin dev nya,negatif
paylaternya,positif
bagus rekomendasi,positif
,positif
okke shopee good job banget pakai shopee saran nya tingkat shopepaylater nya sma shopee pinjam nya limit nya biar,positif
senang,positif
banyakin gratis ongkirnya ya minsama flas sale ga ngotak jirrr dlm hitung menit dah habis,positif
berat bngt apknya bikin hp ngehang,negatif
good job,positif
oke,positif
lelettttt,negatif
dipake mlh loading,negatif
mantapp,positif
lot,negatif
good,positif
yaa ga bisaa sistim cod lumayan loh minn gratiss ongkir tapi ga bisaa cod ahhhhhh pliss lahh minn sistem cod nya nyalain,negatif
good,positif
lemott,negatif
payah top up batas maximumnya juta wkwkk duhh bagus shopee lamaa bagus lapak ijoo,negatif
ft to fc vbkm john nutty bu bu bbbbvccc kfcnb bui tts er tts yg jet swt bet get,negatif
bantu,positif
shoppe menyenangkandlm belanja tonton main game,positif
mantappppp,positif
mksh shopee mg sukses sllu,positif
mantap,positif
overall mantap jiwa ting ting,positif
lumayan,positif
josss,positif
ganggu,negatif
sukaaaaaa shope,positif
hrga jangkau murah,positif
aplikasi berat hp cuna ram gb belanja aja ampun susah,negatif
lag gak shopee,negatif
kurang driver pesan makan nunggu dicancel aplikasi,negatif
cari aj lemott banget jaring stabil,negatif
alhamdulillah blm kecewa dgn barang yg dkirim shoppe sesuai pesan,positif
,positif
bagus,positif
belanja amannyaman ribet,positif
nyaman,positif
kirim aplikasi shopee lambat,negatif
lelet kalo buka suka ngelag maaf kurangg,negatif
lot banget update eror muter gak tolong baik,negatif
mantap jiwa,positif
belanja online gampang  vocher gratis ongkirnya oke,positif
good,positif
muas,positif
ok,positif
mantap,positif
mantap,positif
josss beli ajh,positif
oke,positif
good,positif
aplikasi bagus,positif
cocok,positif
bayar shoopee pinjam paruh nominal pembayaranya ubah biasa aplikasi gin klo bayar seoaro ngga baik baik,negatif
shopee live slogan dadak sultan gak cocok reward perak menit akun batas reward gak adil rasa bener beda guna baru,negatif
ngak tapaiongghu ngak tapai,negatif
gak sen barang shopee kurir nganterin paket cod rumah aneh ckout sendir,negatif
iklan nya banyak tololll youtube banyak iklann goblokkkk,negatif
bagus,positif
banget diskon voucher shopeenya,positif
gk gw belanja apk lgi kapok banget gw,negatif
keren,positif
bagus,positif
,positif
guwelakne,negatif
biar bintang bicara,positif
terimakasih kasih shopee saran spy men download video shopee mudah perlu promo,positif
muas,positif
kejut,positif
senang shopee,positif
jos markojos,positif
moga layan,positif
flashsale hoax,positif
promo ya,positif
bagus,positif
event promo sih jam promo nya aplikasi lot hahaha produk rupiah bom menit udah habis gabisa checkout cek habis kurun menit,negatif
kompetitif,negatif
sinyal bagus lot gimana menang war flash sale gin min payah,negatif
ok,positif
sih shopee udh eror shopeelatter pilih bayar bayar gak bayar kadang pikir males pake shopee kalo,negatif
lelet bln mesti update tu toko online bagus sayang kn,negatif
min daftar agen shopee express,positif
barang ya bagus,positif
pokok shopee best,positif
gembel gak telat bayar gak upgrade spaya later,negatif
so layan selernya muas aplikasi lamban konten yg ga,negatif
bagustapi sya pake spinjaman,positif
baik,positif
rekomended bgttttttttttt,positif
tolong baik lelet banget,negatif
neng banget belanja layan cepat,positif
lelet,negatif
voucher gratis ongkir rupiah pas check out nambah tuh ongkir nya voucher nya gk kepake udh dipake nge bug gimana toko oren,negatif
muas,positif
kirim cepet bgt deh tp aplikasi kek berat gitu yh bintang,positif
ok,positif 
,positif 
ok,positif 
good,positif
banyak biaya koin shopee ga bs belanja motong harga ga tulus,negatif
mantap,positif
mantap puas,positif
oke,positif
kesini gak suka shopee telat bayar tagih sampe akun batas gak belanja akses bikin akun tetep gak dipake belanja shopee parah ancur,negatif
udah diupdate tpi mlah lot,negatif
bantu,positif
nokomen,negatif 
parah promo ubah iklan doang,negatif 
klo liat ulas orang ga muncul variasi ragu beli,negatif
bagus banget,positif
aplikasi lelet sekaliiiii udah belanja aplikasi lelet sampe sy uninstall download lelet tolong baik biar nyaman semangat,negatif 
aplikasi stabil,negatif 
bagus bgttt,positif 
shopee lot isi pulsa kuota data isi emoney loadingnya gagal buka halaman --,negatif 
oky,positif
muncul iklan kesel gua,negatif 
ok,positif 
kecewa lot aplikasi order kali pas bayar loding ahirnya batal sopi,negatif 
komplain ni aplikasi lemotgk perubahanmalah biaya aplikasi gak recommend,negatif 
shopeeok,positif 
very good very well,positif 
bagus,positif 
bantu,positif 
klau pinjam suka tawarinyg sy bayar payleter bener kaga nunggak bantu sy usaha pinjam jangka bulan dah tebus ama yg langsung bayarkadang blm blm dah pelunasanjangan nunggaksaran sy gitu aja,negatif 
tingkat producya,positif 
masalah selesai peroses makan menyelesaikanya,negatif 
lemotdi update lot,negatif 
angga any,positif
cinta love youmiss youbabay,positif
mantul mantap bos ,positif 
good job,positif 
yahava,positif
ll,positif
ga bgus lot kirim nya mkin mles bet dpet kurir yg tuju eh gatau nya pas malam liat beli gada dirumahbapak gada rumah rumah nungguin tu paket kga dtng bikin beli gada rumah tolong la shopee tambahin fitur nama telepon kurir yg ngantar alamat tuju biar enak maki nya klo ga oke udh lengkap alamat ku nomor hp aktif terusmles download shopee lgi,negatif 
gamgu cok iklan sopi,negatif 
,positif 
top,positif 
sang at,positif 
pakai voucerr diskon harga ubah,negatif 
bantu harga yg murah,positif 
lelet aplikasi,negatif 
ok,positif 
belanja tenaga,positif 
shopee is the best,positif 
bagus,positif 
bagus sih,positif 
kecewa spinjam nya koordinasi kait bayar nasabah update nya langsung bayar minggu stts bayar ubah bunga komplain cs kali ubah team kolektor wa sms ganggu koordinasi buruk instansi usaha,negatif 
yfyyre,negatif
oke,positif 
ok,positif 
,positif 
ok,positif 
mantaaaab,positif 
matap,positif 
shopee beda,positif 
aplikasi,positif 
gg,positif 
terima kasih shopeemembuat blnj lbih muda lbih hemat,positif 
mantap brow,positif 
ngelag gak masuk cek kirim,negatif 
terimakasih,positif 
ok,positif 
sip jos,positif 
gmana sih donwload jha lma bner,negatif 
tks,negatif
alhamdulillah,positif 
apik,positif 
mantap shopee depan diskon gratis ongkir jos pokok,positif 
bagus,positif 
mantap,positif 
oke banget,positif 
baguss,positif 
orderancpt,positif 
perfect,positif 
top,positif 
macettttt,negatif 
minimal koneksi stabil biar kalo flashsale bagi,negatif 
pinjol haram cicil ga ngotak sampe ,negatif 
bagus,positif 
mantapapalagi spaylaterjadi josss,positif 
mantap,positif 
mantul,positif 
puas belanja shopee,positif 
ok,positif 
mantap,positif 
sholawat,positif
iklan iklan melulu,negatif 
shopee bantu belanja cepat sesuai smg shopee maju sukses,positif 
kesini gak nih shopee,negatif 
puss blanja shopee aman sukses nya shopee jaya,positif 
bagus,positif 
gila jual dishopee potong admin  lebihmau chat csmalah robot mulu yg jawabgedeg bgt guamakin kaya shopee parah,negatif 
bantu belanja online terimakasih shopee,positif 
cod tolol,negatif 
mhon maaf kpd shopeesya tntang pmulihan akun batasisya uda mngajukan pmulihan akun sya yg kena fkata pmberitaun email shopeeakun sya pulih kmbali stelah hri hitung dri tgl meyuntuk tari saldo pda akun trsebuttiba pmberitaun shopee akun sya pulihkanmana janji shopee pda sya yg laluklau akun sya batas apatapi yg masala nya uang sya pda akuntlong pul kn,negatif 
aplikasi berat,negatif 
mudah erti,positif 
sangt bgus,positif 
mayan,positif 
  ccg uhhh xx,negatif
mantap,positif 
good,positif 
mantap,positif 
skrg dah ok,positif 
bantu,positif 
mantap sopi,positif 
kurang bintangya karna apk nya leletterus meruba alamat mala gk bolak gk bisatolong klw puya apk sulit bikin alamat garus inila itula blah blah blahsusah banget,negatif 
shopee hebat moga sukses,positif 
akun dibatesiinn gimana sih shopee pdhl uda oke cm telat bayar aj pdhl uda bayar haha lucu sih mnding bayar aja ap ya rugi wkwk,negatif 
iklan tdk mutu bikin habis kuota,negatif 
puas banget baja shopee,positif 
maaf kasih bintang leletnggak karuan pakai wifi sampek ganti pakai paket data muter aja bayar pakai shopee pay loading sampek nggak mohon baik donk fiturnya,negatif 
ngeriya sm nl,negatif 
oke,positif 
ok,positif 
memuaskannnn belanja shoopee harga murah murah barang bagus,positif 
,positif 
nunggu barang sampe kaya nunggu antri haji zaman teknologi modern tp kaya zaman pos sepeda ontel,negatif 
mantap poko,positif 
,negatif 
shopee bantu,positif 
jayajayajaya jaya,positif 
luv luv deh shopee,positif 
lumayan bantu,positif 
bintang kurang karna fitur face id susah checkout barang karna fitur hp pada tolong fitur face id hapus ganti finger print sandi,negatif 
mantap dah shopee iloveyou fullll,positif 
aplikasi lot,negatif 
good,positif 
aplikasi bagus suka gratisin ongkir,positif 
bgs,positif 
please hapus shoppe video games nya ituh yg bikin lot aplikasi belanja main,negatif 
terima kasih moga sukses kurir rama sabar shopi depan aamiin,positif 
okee,positif 
mantap,positif 
moga amanah shopee,positif 
lazada losss bos shopee hati,positif 
shopee kesana kesinipelit,positif 
sip suka lelet,negatif 
mantap,positif 
trimkasi shope jauh papua tpi uda buka shope belanja mol jakarta barang lengkap,positif 
moga amanah,positif 
lot,positif 
shopee gin yaa susah menu shopee pay nya banget error muat fitur coba baik donggg,negatif 
maaf spinjam shopee customer shopee belanja shopee customer harus kudu wajib download daftar shopee driver harap akun shopee driver order food nyata kasih order spxapalagi josacacluster italybanjar wijaya-cipondohharus bawa galon isi auto cancel itu driver adu tp tanggap putus asasangkin order food,negatif 
aplikasi lambat jalan menggunakaan internet cepat aplikasi hang di-update lambat fitur lambat pakai bikin hp cepat panas udah pasar tumpah aja shopee nih,negatif 
mantappp,positif 
lelet aplikasi berat bgt udah refresh kali udh hapus chahe hapus data tetep aja lelet lag bug nya kadang pas buka aplikasi layar putih aplikasi buka aplikasi lancar aja jaring bagus memori jg ga penuh pas buka shopee maah lag nge blank kasih bintang harua dah habis kau aplikasi mu bikin tensi,negatif 
bgs,positif 
senang lihat video shopee,positif 
bagus,positif 
gratis ongkirnya,positif 
percaya,positif 
baik belanja online percaya,positif 
semenjak pake aplikasi shopperjadi nggak repot belanja,positif 
lot apl belanja online banyak fitur gk guna shopee hp nya bagus harap apl shopee versi lite live video,negatif 
bagus,positif 
mudah rejeki,positif 
ok bgus,positif 
love you,positif 
belanja murah belanja online praktis,positif 
klau belanja dishopee enak barang jamin original,positif 
jual jahat main blokir ganti rugi aja blokir aklak tambah jual diberitau cek barang kondisi layak helm kirim baut hilang aklak tambah beli barang pakai koin ribu koin beli real eee suruh batsl ganti koin blokir aklak parah susah percaya parah sinyal bagus bayar barang,negatif 
bagus,positif 
belanja online untung,positif 
suka,positif 
bantu murah,positif 
,positif 
ok,positif 
jelek,positif 
update ngebug jaring bayar denhan spaylater,negatif 
cocok suka cod ad,positif 
barang yg sesuai pesan,positif 
lihat sponsor terimakasih,positif 
top,positif 
real pict barang tq shopee,positif 
,positif 
baguss,positif 
mantap,positif 
bagus banget,positif 
keren,positif 
keren bagus,positif 
kirim lumayan cepatrespon lumayan cepat,positif 
tingkat promosi nya,positif 
bagus,positif 
bantu,positif 
aplikasi lot buka game streaming youtube lancar lag hp panas main game buka apl olshop belah engga panas tolong baik,negatif 
suka shoppee,positif 
bagus dah pokok,positif 
verifikasi login akun aneh banget sesuai,negatif 
bagus,positif 
selalooo depannnn majuuu terusss,positif 
tolong tambah bayar dana tambah bintang,positif
berat,negatif 
mantap pokok mantap bang hihi mantap hehe iyo bang mantap aduhhh hihi mantapsshh,positif 
alhamdulillah shopee bantu rumah tanggadengan shopee buka usaha belanja terimakasih shopee,positif 
belanja shopee senang,positif 
bahshs,negatif
mantap,positif 
aneh ni apk kaga memory hp internet bagus bersih cech macem ttp aja kaga buka aja tulis ups halaman baik alami uda yg tolong baik apk nnti org pda kasih rating loh beneran dah terimakasih,negatif 
bintang karna aman gak ketatsudah si tipu jual aplikasi,negatif 
beneran ngeselin banget ya pas bukak ngbug mulu baik baru bikin ga nyaman,negatif 
bagus,positif 
bagus,positif 
top,positif 
ok,positif 
sesuai pesan,positif 
say kasih bintang aplikasi kesini lelet udah update tpi ttep lelet bagus lelet mohon baik,negatif 
jelek,negatif 
shoppe bantu beli barang,positif 
rifa m,positif 
ionttol,negatif
min yaa timbul notifikasi tagih utang customer servis gak ngutang spaylayer nonaktif spinjam non aktif tagih utang min gak oernah ngutang min,negatif
shoppe skrg pro seller barang kw kurir nyaplease kasih jam kerja wajar aja napa gila aja jam - malam nganterin barang klo frozen food brg sih oke maklum atur kurir nya tuh yg wajib benah max kirim jam - sore aja,negatif
aplikasi belanja aplikasi vidio klo emang belanja ya wajar kali berat aplikasi,negatif
mantapbelanja shope,positif 
aplikasi lot,negatif
iklan cape liat engga suka kasih bintang loding payahnyusahin aja inti engga suka iklan paham,negatif
,
paket batal udah nunggu batal pindah apk belah,negatif
istal,negatif
moga promo ya hehe,positif 
layan shopee muas terima kasih bantu,positif 
belanja online mudah shopee kirim cepat harga harga sahabat lot ya,positif
suka shopee,positif
dulusekarang ngisi saldo potong rupiah transaksi order potong rupiah kali order ribu kurang nya habis update lot lelet,negatif
aplikasi henti tibatrys buka flash sale halaman utamabenerin yg bener update karuan,negatif
kasih start aja limit juta,positif
lelet aplikasi buka berat seklii yah lumayan bagus,negatif
siip,positif
mohon tambah tema gelap,positif
hemmmm,negatif
puas toko amanah,positif
nice poko,positif
muak gw liat iklan orang nyanyi sopi pi pi kntl,negatif
aplikasi tipu,negatif
lumayan bagus moga depan diskon besar,positif
jaya,positif
henti ngelag,negatif
sulit ganti nomor handphone aktif,negatif
aplikasi berat lot,negatif
shopee kesini aneh yg dapet koin pas terima barang gadapet koin masalah koin yg ga jadi ga aja kasi orang yg ngarepin koin terima barang gada koin,negatif
keren karna gratis ongkir heheh,positif
ok,positif
makan lot,negatif
paksa uninstal aja dah ga cod,negatif
yg kau butuh,positif
coba,positif
kecewa shoppepay ga udh isi loh tau ga isi shoppepay pake duit kereset sih sumpah ngeselin banget si shoppe ga ngelag,negatif
lancar tdk sprti shopee yg duluklo bz baik to admin tolong app shopee ny baik lancar,negatif
bantu,positif
benci shopee update aplikasi,negatif
keren,positif
,positif
ganggu tawar,negatif
sya kesan shoppehanya akun sya yg hilangkalo sya bikin akun ktp sya daftar masuk akun yg sya tunggak akun yg niat bayar develop sya tunggu jwb an nya hidup bayang hutang tenang hutang ya hutang bayar,positif
pokok dah,positif
aplikasi belanja online favorit lengkap,positif
skrg ngga jual sih dishopee nyusahin aja nyari garskin pod aja udh ngga banyak atur skrg-,negatif
bagus,positif
pake shopee oke bgt manfaat mudah  gratis ongkir,positif
,positif
ooh,positif
shopee laju kencang check barang yg pesan klu ok bayar sukses shopee,positif
update an baru eror aja bayar pesan suruh download fitur download nya gak olah gak sambung internet apk sinyal nya lancar aja,negatif
cpt jamin,positif
bagus lumayan dapet koin gratis,positif
aplikasi percaya sih,positif
buk pls iklan shope bikin ngeganggu,negatif
keren,positif
puas belanja shopee,positif
tolong hilang biaya tangan shopee belanja shopee muncul nya biaya tangan nyaman mending hilang biaya tangan dampak nya nihil,negatif
ps drop,negatif
developer shopee tolong respon pesan sya sya jual bembeli barang aplikasi shopee sya aplikasi shopee perlu belanja jual barang dagang sya udah kali jadi dana jual sya telat masuk saldo jual sya terang nya tanggal juni udah tgl masuk tolong kerja nya klo kya gin gim putar modal,negatif
aplikasi lot banget,negatif
bebas ongkir shopee,positif
bantu,positif
good luck,positif
lelet aplikasi,negatif
lumayan,positif
terima kasih mohon seller gede biaya adminnya jual receh,positif
kirim lamapadahal bayarbanyak barang jual nya kualitas buruk,negatif
tolong shopee pilih jasa kirim paket salah kirim lambat kirim toko jual nya tolong seleksi amanah sesuai barang pesan barang kirim rugi customer beli,negatif
flashsale rupiah stock habis ntah main,positif
developer waspada bot flash sale untung orang rugi guna reguler kasih aman,negatif
tolong iklan nya ganggu pedahal aplikasi shopee,negatif
fungsinal efisiensiaksimal,positif
komplit shopee mah,positif
puas,positif
mantap oke,positif
amanah mantap,positif
,positif
puas produk gratis,positif
bas pakai shope utk belanjaeh gilir trlambat tagih prmbyran trus akun nonaktifkansmpai skrgpdhal bayar tagih yg trlambat,negatif
shopee mantep,positif
paham apk mohon jelas min,positif
lot nya ga ngotak sumpah upgrade lot sih ngelag mulu tiba aplikasi sndiri sampe kaya gin cape gw lama sma shopeett,negatif
xx,negatif
lelet no lot no tepuk tangan,negatif
suka shope discount harga miring barang cepet,positif
jelek,negatif
smua barang yg psan sesuai dg pesan,positif
aja dapet kurir males nyari alamat nunggu pesan bulan eh dapet kurir malas alas alamat temu kesini aneh aja kurir shopee,negatif
oo oo ku ku ijkjjjjjjjjjiijikkk bbnnnnnmmmnjjjjjjjkkkklll kl kkkkkk klu jk jnn jl mmmmmmnmmmmmmmmmmmmmmmmmmmmgggggghhghhhhhhhhhhhbbb mo ggh mmbbbbbhhhhhhgghgggggggggggggggggwwwwwwwwwwwqqqqqqgllmkkmmmmmmggggggvvvvgggvvvvvvhbbhhhhhhhhjjnnnnnnnnnnnnjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjijjjjjjjjijjjj,negatif
,positif
belanja praktis,positif
baik maret place,positif
ok,positif
mamtabs,positif
iklan hapus aj video iklan shopy ganggu mks,negatif
bintang  kalo transaksi checkout aja gagal mulu,negatif
bgus,positif
bagus tuk dagang error alias nakal yg jengkel sampai aju shopee leter blm tuju,positif
lot bgt spaylatter gak buka kecewa,negatif
ok,positif
,positif
belanja shopee bantu puas belanja shopee,positif
banyak voucher yah,positif
shopee ok,positif
shopee is the best,positif
baik pakai reels video tambah beban aplikasi,negatif
loyo aja nieee,negatif
ok,positif
payah,negatif
kalo nanya cust kasi info ga kasi problem solving laksana dianalisa aja ga solusi solusi butuh ga cepet,negatif
murah riah,positif
bagusss parbaikin lgii,positif
limit spaylater naik,negatif
bagus cepat,positif
gabung go-pay gak gratis ongkir go-send huffffgak kaya apk sebelahpelit meditttt,negatif
lot apkny jaringn bgus ttp jg lot pdhal enk belnja,negatif
shopee parah nggak login perangkat kenal wajah gagal hadeuh auto pindah si biru,negatif
ganggu,negatif
lagu kenang deumersis,positif
,positif
iklan,negatif
ok,positif
bagus,positif
bantu,positif
lelet apk nya,negatif
aplikasi berat loading lamaa,negatif
,positif
